fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,2,1,3,0,2,0,100,2,0,0,4,2,4,130254.678,0,1,0,0,1,0,0,0,-1,0
0,1,0,4,0,4,0,0,3,1,0,1,4,4,0,0,1,1,1,2,1,1,1,0,1
0,1,0,4,1,4,0,100,3,1,0,1,4,6,258130.5798,12925040,3,1,0,2,1,1,1,0,1
0,3,1,3,0,4,0,0,2,0,0,3,3,5,1341009.163,0,3,1,0,1,0,0,0,-1,0
0,1,0,1,0,1,0,100,1,0,0,1,1,1,524030.5696,1209410,1,0,0,2,0,0,0,-1,0
0,2,1,3,0,1,0,100,1,0,1,6,2,6,0,4777030,1,1,0,1,1,1,1,0,1
1,1,1,3,0,4,0,100,3,0,0,6,3,1,0,1217280,0,0,0,1,1,2,1,2,0
0,3,1,3,0,4,0,100,3,1,0,6,2,1,268062.499,250000,2,0,0,1,1,1,1,1,1
0,2,0,4,0,4,0,0,1,0,0,4,2,6,0,0,1,0,0,1,1,1,1,2,0
0,2,0,4,0,4,0,100,1,0,1,5,1,5,597313.7612,0,2,1,0,1,0,0,0,-1,1
0,3,0,1,0,1,0,100,3,0,0,6,4,-1,248035.8423,0,5,0,0,0,0,0,0,-1,0
0,1,0,1,0,2,0,100,2,0,0,6,1,6,394938.6963,0,4,0,0,2,0,0,0,-1,0
0,2,0,1,1,4,0,100,1,0,0,3,3,1,209375.4398,0,0,1,0,1,0,0,0,-1,1
0,1,1,2,0,2,0,100,2,0,0,4,1,4,336543.896,0,1,0,0,1,0,0,0,-1,0
0,1,0,5,0,3,0,100,2,0,0,5,3,1,0,0,0,0,0,1,0,0,0,-1,0
0,1,1,1,0,1,0,0,1,0,0,5,2,2,0,0,1,1,0,1,0,0,0,-1,0
0,1,0,4,0,4,0,100,1,0,0,6,1,6,2912127.444,8029560,3,1,0,2,1,1,1,0,0
0,2,0,1,0,4,0,100,2,0,0,1,1,1,272389.1313,945740,0,0,0,1,0,0,0,-1,0
1,1,0,1,0,4,0,100,1,0,0,1,2,1,3007611.449,0,1,0,0,2,0,0,0,-1,0
0,2,0,5,0,2,0,100,3,0,1,5,3,5,199556.6794,586770,1,0,0,1,1,1,1,0,0
0,2,0,1,0,3,0,100,1,0,0,2,5,2,0,0,4,1,0,1,0,0,0,-1,0
0,2,0,3,0,4,0,100,2,0,0,4,3,4,0,355200,1,0,0,2,0,0,0,-1,0
